stationID,incoming,leaving,avgTimeSpent,percentRoundTrip,percentPassholder,latitude,longitude
3039,115,115,160.567028,0.683983,0.151515,34.024479,-118.393867
3054,840,865,684.873583,0.112544,0.618406,34.0392189,-118.23649
3037,1427,1174,759.870475,0.071483,0.561875,34.0348015,-118.23128
3076,1960,1903,1328.092329,0.116460,0.672878,34.0405998,-118.25384
3045,319,187,225.915997,0.098619,0.710059,34.028511,-118.25667
3079,717,693,403.592912,0.103473,0.822821,34.0501404,-118.23324
3048,3156,3005,452.909209,0.184680,0.617819,34.0416908,-118.23535
3000,955,29,175.702918,0.006091,0.539086,,
3007,1993,2785,685.633900,0.065286,0.709981,34.0504799,-118.25459
3051,1939,2062,488.686823,0.074213,0.656172,34.0454216,-118.25352
3027,1861,2557,762.547230,0.074678,0.680244,34.0499802,-118.24716
3011,1491,1257,330.847234,0.200437,0.395780,34.0411301,-118.26798
3024,760,1646,286.449370,0.212297,0.665559,34.0577202,-118.24897
3018,1402,1211,708.871372,0.105968,0.648814,34.0437317,-118.26014
3019,2175,1910,969.742271,0.067548,0.848262,34.0386086,-118.26086
3038,3194,3306,762.976816,0.076911,0.693893,34.0468216,-118.24835
3074,2361,2341,969.623194,0.093557,0.688071,34.0441704,-118.26117
3006,2826,2708,760.238076,0.070099,0.728817,34.0455399,-118.25667
3036,1424,1153,745.214503,0.132661,0.554306,34.0391884,-118.23253
3010,412,427,175.637061,0.297619,0.645238,34.0370483,-118.25487
3008,2242,2156,491.741892,0.095476,0.619459,34.0466118,-118.26273
3060,389,383,1044.007065,0.182406,0.657180,34.0348816,-118.25769
3028,521,1179,499.148640,0.129336,0.563198,34.0583191,-118.24609
3023,2495,1980,424.435913,0.138963,0.600760,34.0509109,-118.24097
3081,644,593,491.525766,0.072698,0.783522,34.0318909,-118.25018
3031,5517,4629,1098.838673,0.062383,0.740810,34.0447006,-118.25244
3068,983,3252,989.525705,0.093484,0.609301,34.0531998,-118.25095
3020,604,528,235.861651,0.237423,0.653133,34.0310516,-118.26709
3056,1481,1461,823.686463,0.114849,0.865783,34.0374603,-118.26538
3032,2778,2466,737.329093,0.078360,0.764538,34.0498886,-118.25588
3062,2204,2325,636.764955,0.095364,0.692715,34.0477486,-118.24317
3066,1203,1425,877.490470,0.130848,0.686953,34.0633888,-118.23616
3029,1399,1902,444.981392,0.063901,0.652938,34.048851,-118.24642
3075,2276,2125,628.617363,0.081781,0.654248,34.0421104,-118.25619
3026,1212,1562,972.020184,0.105946,0.687207,34.063179,-118.24588
3025,713,626,272.633151,0.107463,0.707463,34.0328598,-118.26808
3059,722,742,271.453746,0.301024,0.657338,34.0379486,-118.25627
3064,4605,4661,667.472674,0.064098,0.772742,34.0468102,-118.25698
3009,68,56,169.797076,0.472000,0.208000,33.987381,-118.472832
3016,1906,1953,1066.205867,0.076425,0.853368,34.0528984,-118.24156
3033,778,709,369.232465,0.067204,0.659274,34.0409889,-118.2558
3063,3763,2949,804.232194,0.099210,0.655594,34.0491982,-118.25283
3069,5072,5138,755.571413,0.086182,0.565762,34.0508804,-118.24825
3082,4703,3908,280.092762,0.090804,0.599396,34.0465202,-118.23741
3014,5385,4571,573.307667,0.063573,0.749222,34.0566101,-118.23721
3022,4337,3893,721.285905,0.109343,0.681934,34.0460701,-118.23309
3047,1994,2230,1058.123966,0.109349,0.726154,34.0399818,-118.2664
3030,4224,5059,674.670098,0.074752,0.776605,34.0519409,-118.24353
3034,3032,3037,958.065250,0.088303,0.754695,34.0420609,-118.26338
4108,155,108,126.773766,0.511364,0.882576,34.02589,-118.238243
3046,1134,1348,309.249890,0.126863,0.674990,34.0530205,-118.24795
3005,6262,4883,1166.311165,0.058137,0.770231,34.0485497,-118.25905
3078,883,879,363.730319,0.183778,0.500851,34.0642815,-118.23894
3052,1497,2253,1034.915824,0.127966,0.683818,34.0511017,-118.26456
3065,1016,992,623.714791,0.119462,0.590343,34.0605583,-118.23833
3080,178,191,190.221003,0.108108,0.694595,34.0342102,-118.25459
3040,737,1023,1118.636178,0.224872,0.496877,34.0535698,-118.26636
3067,3481,3797,1153.398278,0.090122,0.743921,34.0451813,-118.25024
3055,2460,3270,638.456033,0.075728,0.740010,34.0441589,-118.25158
3058,1944,1808,1390.086083,0.114042,0.666933,34.0358009,-118.23317
3057,399,380,909.936893,0.173077,0.475641,34.0356789,-118.27081
3077,811,802,263.018843,0.080545,0.669145,34.0398712,-118.25004
3021,1490,1254,708.570970,0.120947,0.642987,34.0456085,-118.23703
3053,12,13,178.994480,0.000000,1.000000,34.0400391,-118.26302
3049,2489,3154,841.924743,0.079022,0.759568,34.0569687,-118.25359
3042,5293,4015,718.294720,0.079063,0.683425,34.0493011,-118.23881
3035,3513,3406,1039.643823,0.078613,0.672399,34.0484009,-118.26095
